"Molecule.ChEMBL.ID","Smiles","Standard.Value"
"CHEMBL4078022","CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2ccc([N+](=O)[O-])cc2)cc1",0.325
"CHEMBL4098858","COc1cccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc(NC(C)=O)cc3)n2)c1",0.325
"CHEMBL3884587","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3ccc(C(F)(F)F)cc3)n2)cc1OC",0.33
"CHEMBL4061497","COc1ccc(-n2nnc(-c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)n2)cc1",0.331
"CHEMBL4171705","N#Cc1cccc(Nc2nc(-c3ccc([N+](=O)[O-])cc3)nc3ccccc23)c1",0.336
"CHEMBL4081623","COc1ccc(Nc2nc(-c3ccccc3)nc3ncccc23)cc1OC",0.343
"CHEMBL4096070","CCCc1ccc(NC(=O)c2ccccc2NC(=O)Nc2cccc([N+](=O)[O-])c2)cc1",0.348
"CHEMBL4094899","COc1cccc(-c2nc(Nc3cccc(C#N)c3)c3cccnc3n2)c1",0.348
"CHEMBL397235","COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1",0.35
"CHEMBL1834568","COc1cc(OC)c(/C=C/C(=O)c2cn(C)c3ccc(OC)cc23)c(OC)c1",0.35
"CHEMBL260654","COc1cc(O)c(C(=O)/C=C/c2c(OC)cccc2OC)c(OC)c1",0.35
"CHEMBL4215789","COc1ccc(-n2nnc(-c3ccccc3NC(=O)c3cccs3)n2)cc1",0.351
"CHEMBL4076705","COc1ccc(NC(=O)Nc2ccccc2-c2nnn(-c3ccc(OC)cc3)n2)cc1",0.355
"CHEMBL3582149","COc1cc(OC)c2c(c1)O[C@H](c1cc(OC)c(OC)c(OC)c1)[C@H](OC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1)C2",0.357
"CHEMBL4175165","COc1cccc(-c2nc(Nc3cccc(C#N)c3)c3ccccc3n2)c1",0.359
"CHEMBL3809957","COc1cccc(/C=C/C(=O)c2ccc(Nc3nc(-c4ccc(OC)c(OC)c4)nc4ccccc34)cc2)c1",0.36
"CHEMBL1507325","COC(=O)c1cccc(Nc2nc(-c3cccnc3)nc3ccccc23)c1",0.362
"CHEMBL4085567","Fc1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1",0.363
"CHEMBL4171781","COc1cccc(Nc2nc(-c3ccc(OC)c(OC)c3)nc3ccccc23)c1",0.365
